id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
3421,Socrates,Hobbes,Aristotle,Hobbes,The others are philosophers of the Classical period,Plato
3422,Locke,Hegel,Schopenhauer,Locke,The others are philosophers of the German Idealism,Kant
3423,Confucius,Xunzi,Mencius,Rousseau,The others are Confucian philosophers,Rousseau
3424,Nietzsche,Kierkegaard,Sartre,Locke,The others are Existentialists,Locke
3425,Moore,Nietzsche,Wittgenstein,Nietzsche,The others are philosophers of the Analytic tradition,Russell
3426,Plato,Hobbes,Locke,Plato,The others are philosophers of the Social Contract,Rousseau
3427,Augustine,Anselm,Spinoza,Spinoza,The others are philosophers of the Scholasticism,Aquinas
3428,Marx,Sartre,Engels,Sartre,The others are philosophers of the Dialectical materialism,Hegel
3429,Jelly Roll Morton,Sergei Prokofiev,Fats Waller,Sergei Prokofiev,The others are ragtime pianists,Scott Joplin
3430,Stevie Wonder,Alicia Keys,Johannes Brahms,Johannes Brahms,The others are R&B pianists,Ray Charles
3431,Yundi Li,Yuja Wang,John Legend,John Legend,The others are Chinese pianists,Lang Lang
3432,Hiromi Uehara,Robert Glasper,Johann Sebastian Bach,Johann Sebastian Bach,The others are jazz fusion pianists,Chick Corea
3433,Liberace,Sergei Rachmaninoff,Billy Joel,Sergei Rachmaninoff,The others are pop pianists,Elton John
3434,Fats Domino,Ludwig van Beethoven,Jerry Lee Lewis,Ludwig van Beethoven,The others are rock and roll pianists,Little Richard
3435,Franz Liszt,Richard Wright,Tony Banks,Franz Liszt,The others are rock keyboardists,Ray Manzarek
3436,Regina Spektor,Johann Sebastian Bach,Fiona Apple,Johann Sebastian Bach,The others are alternative pop pianists,Tori Amos
3437,Wolfgang Amadeus Mozart,Booker T. Jones,Steve Winwood,Wolfgang Amadeus Mozart,The others are soul pianists,Billy Preston
3438,Allen Ginsberg,William Blake,Jack Kerouac,William Blake,The others are Beat Generation poets,Sylvia Plath
3439,Pablo Neruda,Hafez,Rumi,Pablo Neruda,The others are Persian poets,Omar Khayyam
3440,e.e. cummings,W.B. Yeats,Robert Frost,e.e. cummings,The others are winners of the Nobel Prize in Literature,T.S. Eliot
3441,Langston Hughes,Emily Dickinson,Zora Neale Hurston,Emily Dickinson,The others are part of the Harlem Renaissance,Toni Morrison
3442,Percy Bysshe Shelley,John Keats,Robert Burns,Robert Burns,The others are part of the second generation of Romantic poets,Lord Byron
3443,Walt Whitman,Emily Dickinson,Edgar Allan Poe,Charles Dickens,The others are poets of the 19th century,Charles Dickens
3444,Mark Twain,E.E. Cummings,Robert Frost,Mark Twain,The others are part of the Modernist movement,Carl Sandburg
3445,Geoffrey Chaucer,William Shakespeare,Ben Jonson,Geoffrey Chaucer,The others are poets of the Elizabethan era,John Donne
3446,Dante Alighieri,Giovanni Boccaccio,Victor Hugo,Victor Hugo,The others are poets of the Italian Renaissance,Petrarch
3447,William Wordsworth,Samuel Taylor Coleridge,William Blake,Thomas Hardy,The others are poets of the Romantic era,Thomas Hardy
3448,Walt Whitman,Edgar Allan Poe,Ralph Waldo Emerson,Edgar Allan Poe,The others are Transcendentalist poets,Henry David Thoreau
3450,Martin Luther King Jr.,Maya Angelou,Langston Hughes,Martin Luther King Jr.,The others are poets of the Civil Rights Movement,Toni Morrison
3451,William Shakespeare,Christopher Marlowe,Ben Jonson,Geoffrey Chaucer,The others are poets of the English Renaissance,Geoffrey Chaucer
3452,J.D. Salinger,Jack Kerouac,Allen Ginsberg,J.D. Salinger,The others are poets of the Beat Generation,William S. Burroughs
3453,Jimmy Carter,Barack Obama,Bill Clinton,Jimmy Carter,The others served two full terms as President,George W. Bush
3454,Angela Merkel,Margaret Thatcher,Hillary Clinton,Hillary Clinton,The others have served as a Prime Minister,Theresa May
3455,Benjamin Franklin,George Washington,Thomas Jefferson,Benjamin Franklin,The others have been Presidents of the United States,Franklin D. Roosevelt
3456,Pierre Trudeau,Stephen Harper,Justin Trudeau,Stephen Harper,The others are Liberal Party politicians,Kim Campbell
3457,Ted Kennedy,Robert Kennedy,Richard Nixon,Richard Nixon,The others are members of the Kennedy family,John F. Kennedy
3458,Nelson Mandela,Desmond Tutu,F. W. de Klerk,Desmond Tutu,The others were Presidents of South Africa,P. W. Botha
3459,Dmitry Medvedev,Boris Yeltsin,Mikhail Gorbachev,Mikhail Gorbachev,The others have served as President of Russia,Vladimir Putin
3460,Raul Castro,Hugo Chavez,Fidel Castro,Hugo Chavez,The others are Cuban leaders,Che Guevara
3461,Lee Kuan Yew,Lee Hsien Loong,Goh Chok Tong,Mahathir Mohamad,The others are Singaporean Prime Ministers,Mahathir Mohamad
3462,Snoop Dogg,Dr. Dre,Ice Cube,Jay Z,The others are associated with West Coast hip hop,Jay Z
3463,Dr. Dre,Nas,Jay Z,Dr. Dre,The others are associated with East Coast hip hop,Biggie Smalls
3464,Chris Cornell,Kurt Cobain,Layne Staley,Bono,The others are associated with the grunge movement,Bono
3465,Justin Timberlake,Christina Aguilera,Madonna,Madonna,The others are associated with the Mickey Mouse Club,Britney Spears
3466,Rafael Nadal,Roger Federer,Andy Murray,Andy Murray,The others have won more than 10 Grand Slam singles titles,Novak Djokovic
3467,Monica Seles,Martina Navratilova,Billie Jean King,Monica Seles,The others won their first Grand Slam singles title before the age of 20,Chris Evert
3468,Novak Djokovic,Andre Agassi,Pete Sampras,Andre Agassi,The others have held the world No. 1 spot for more than 200 weeks,Rafael Nadal
3469,Novak Djokovic,Rafael Nadal,Pete Sampras,Andre Agassi,The others have won more than 10 ATP Masters 1000 titles,Andre Agassi
3470,Serena Williams,Venus Williams,Maria Sharapova,Andy Murray,The others have won an Olympic gold medal in singles,Andy Murray
3471,Andre Agassi,Pete Sampras,Boris Becker,John McEnroe,The others have won Wimbledon and the US Open in the same year,John McEnroe
3472,Harvey Specter,Miles Edgeworth,Phoenix Wright,Harvey Specter,The others are from Ace Attorney,Maya Fey
3473,Alicia Florrick,Vinny Gambini,Diane Lockhart,Vinny Gambini,The others are from The Good Wife,Will Gardner
3474,Louis Litt,Paul Biegler,Harvey Specter,Paul Biegler,The others are from Suits,Mike Ross
3475,John Milton,Abbie Carmichael,Arthur Branch,John Milton,The others are from Law & Order,Jack McCoy
3476,Harvey Specter,Lily Aldrin,Marshall Eriksen,Harvey Specter,The others are from How I Met Your Mother,Ted Mosby
3477,Vinny Gambini,Abby McDeere,Wayne Tarrance,Vinny Gambini,The others are from The Firm,Mitch McDeere
3478,Phoenix Wright,Scout Finch,Jem Finch,Phoenix Wright,The others are from To Kill a Mockingbird,Atticus Finch
3479,Fire Station,Emergency Room,Ambulance Bay,Fire Station,The others are parts of a hospital,Intensive Care Unit
3480,Paramedic,EMT,Emergency Medical Dispatcher,Police Dispatcher,The others are in the EMS field,Police Dispatcher
3481,Police Car,Medical Helicopter,Rescue Boat,Police Car,The others are used for medical emergencies,Ambulance
3482,Physician,Paramedic,Nurse,Pharmacist,The others provide direct patient care,Pharmacist
3483,Otoscope,Microscope,Surgical Scissors,Microscope,The others are used directly on the patient,Stethoscope
3484,MRI Machine,Ultrasound Machine,EKG Machine,EKG Machine,The others are used for imaging,X-Ray Machine
3485,Thermometer,Suture,Splint,Thermometer,The others are used for wound treatment,Bandage
3486,Pet Carrier,Pet Crate,Pet Brush,Pet Brush,The others are pet containment items,Pet Bed
3487,Jean Piaget,Lawrence Kohlberg,John Bowlby,John Bowlby,The others proposed stages of development,Erik Erikson
3488,David Wechsler,Alfred Binet,Carl Jung,Carl Jung,The others developed intelligence tests,Francis Galton
3489,B.F. Skinner,Carl Rogers,Viktor Frankl,B.F. Skinner,The others are associated with humanistic psychology,Abraham Maslow
3490,B.F. Skinner,John Watson,Carl Rogers,Carl Rogers,The others are associated with behaviorism,Albert Bandura
3491,Fridge,Mixer,Oven,Fridge,The others are commonly used in baking,Rolling pin
3492,Croissant,Baguette,Bratwurst,Bratwurst,The others are French baked goods,Pain au chocolat
3493,Chef's knife,Apron,Baker's hat,Chef's knife,The others are baker's attire,Oven mitts
3494,Eggs,Milk,Salt,Salt,The others are ingredients in cake,Flour
3495,Ciabatta,Brioche,Naan,Naan,The others are European breads,Challah
3496,Pizza,Focaccia,Calzone,Pasta,The others are baked Italian dishes,Pasta
3497,Danish,Cinnamon roll,Bagel,Bagel,The others are sweet pastries,Sticky bun
3498,Hakeem Olajuwon,Charles Barkley,Scottie Pippen,Charles Barkley,The others have won the MVP award,Karl Malone
3967,Banana,Strawberry,Avocado,Strawberry,The others are berries.,Melon
3499,Kareem Abdul-Jabbar,Magic Johnson,Bill Russell,Magic Johnson,The others have won more than 5 NBA championships,Shaquille O'Neal
3500,Dirk Nowitzki,Stephen Curry,Kevin Durant,Dirk Nowitzki,The others have won multiple NBA MVP awards,LeBron James
3501,Russell Westbrook,Chris Paul,Kevin Durant,Chris Paul,The others have won the NBA scoring title,James Harden
3502,Allen Iverson,Tim Duncan,Kevin Garnett,Allen Iverson,"The others are over 6'10""",Shaquille O'Neal
3503,Magic Johnson,LeBron James,Michael Jordan,Larry Bird,The others have won NBA Finals MVP more than once,Larry Bird
3504,Michael Jordan,LeBron James,Allen Iverson,Allen Iverson,The others have won more than 2 NBA championships,Kobe Bryant
3505,Justin Thomas,Dustin Johnson,Jordan Spieth,Jack Nicklaus,The others are winners of the PGA Tour Player of the Year in the 2010s,Jack Nicklaus
3506,Gary Player,Arnold Palmer,Tom Watson,Arnold Palmer,The others have won the Senior Open Championship,Jack Nicklaus
3507,Byron Nelson,Sam Snead,Tiger Woods,Tiger Woods,The others are golfers from the 1940s,Ben Hogan
3508,Lee Trevino,Gary Player,Jordan Spieth,Jordan Spieth,The others won the U.S. Open in the 1960s,Billy Casper
3509,Paul Azinger,Fred Couples,Davis Love III,Tommy Armour,The others are Presidents Cup captains,Tommy Armour
3510,Lee Westwood,Bobby Jones,Nick Faldo,Bobby Jones,The others are world number one golfers in the 1990s,Greg Norman
3511,Ben Crenshaw,Hale Irwin,Johnny Miller,Ben Crenshaw,The others won the U.S. Open in the 1970s,Tom Watson
3512,Walter Hagen,Henrik Stenson,Sergio Garcia,Walter Hagen,The others are European Tour Race to Dubai winners,Justin Rose
3513,Evgeni Malkin,Sidney Crosby,Phil Kessel,Marc-Andre Fleury,The others are Penguins forwards,Marc-Andre Fleury
3514,Zdeno Chara,Bobby Orr,Patrice Bergeron,Patrice Bergeron,The others are Bruins defensemen,Ray Bourque
3515,Alex Ovechkin,Nicklas Backstrom,T.J. Oshie,Braden Holtby,The others are Capitals forwards,Braden Holtby
3516,Mark Messier,Brian Leetch,Mike Richter,Mike Richter,The others are Rangers forwards,Adam Graves
3517,Connor McDavid,Darnell Nurse,Leon Draisaitl,Darnell Nurse,The others are Oilers forwards,Ryan Nugent-Hopkins
3518,Maurice Richard,Jean Beliveau,Patrick Roy,Patrick Roy,The others are Canadiens forwards,Guy Lafleur
3519,Peter Forsberg,Joe Sakic,Milan Hejduk,Patrick Roy,The others are Avalanche forwards,Patrick Roy
3520,Chris Osgood,Sergei Fedorov,Nicklas Lidstrom,Chris Osgood,The others are Red Wings skaters,Steve Yzerman
3521,Brett Hull,Adam Oates,Curtis Joseph,Curtis Joseph,The others are Blues forwards,Al MacInnis
3522,Paul Kariya,Jean-Sebastien Giguere,Ryan Getzlaf,Jean-Sebastien Giguere,The others are Ducks forwards,Teemu Selanne
3523,Mike Bossy,Billy Smith,Denis Potvin,Billy Smith,The others are Islanders skaters,Bryan Trottier
3524,Jonathan Toews,Corey Crawford,Patrick Kane,Corey Crawford,The others are Blackhawks skaters,Duncan Keith
3525,Gerry Cheevers,Phil Esposito,Ray Bourque,Gerry Cheevers,The others are Bruins skaters,Bobby Orr
3526,Lanny McDonald,Jarome Iginla,Miikka Kiprusoff,Miikka Kiprusoff,The others are Flames forwards,Theo Fleury
3527,Martin Brodeur,Scott Stevens,Scott Niedermayer,Martin Brodeur,The others are Devils skaters,Patrik Elias
3528,Marcel Dionne,Dave Taylor,Rogie Vachon,Rogie Vachon,The others are Kings forwards,Luc Robitaille
3529,Ron Hextall,Eric Lindros,Mikael Renberg,Ron Hextall,The others are Flyers forwards,John LeClair
3530,Patrick Roy,Joe Sakic,Peter Stastny,Patrick Roy,The others are Nordiques/Avalanche forwards,Milan Hejduk
3531,Markus Naslund,Trevor Linden,Kirk Mclean,Kirk Mclean,The others are Canucks forwards,Pavel Bure
3532,Ryu,Sonic,Guile,Sonic,The others are characters from Street Fighter,Ken
3533,John Coltrane,Neil Young,Bob Dylan,John Coltrane,The others are folk rock musicians,Bruce Springsteen
3534,Phil Lesh,Bob Weir,Neil Young,Neil Young,The others are members of Grateful Dead,Jerry Garcia
3535,Liam Gallagher,Alex James,Graham Coxon,Liam Gallagher,The others are members of Blur,Damon Albarn
3536,Michael Stipe,Mike Mills,Bono,Bono,The others are members of R.E.M.,Peter Buck
3537,Mick Jagger,John Entwistle,Roger Daltrey,Mick Jagger,The others are members of The Who,Pete Townshend
3538,Lol Tolhurst,Morrissey,Robert Smith,Morrissey,The others are members of The Cure,Simon Gallup
3539,Diego Rivera,Claude Monet,Frida Kahlo,Claude Monet,The others are Mexican Muralists.,David Alfaro Siqueiros
3540,Vincent van Gogh,Frans Hals,Johannes Vermeer,Vincent van Gogh,The others are Dutch Golden Age artists.,Rembrandt
3541,Piet Mondrian,Kazimir Malevich,Wassily Kandinsky,Leonardo da Vinci,The others are Abstract artists.,Leonardo da Vinci
3542,Vincent van Gogh,Salvador Dali,Paul Gauguin,Salvador Dali,The others are Post-Impressionists.,Édouard Manet
3543,Kitagawa Utamaro,Katsushika Hokusai,Van Gogh,Van Gogh,The others are Ukiyo-e artists.,Utagawa Hiroshige
3544,Frida Kahlo,Paul Signac,Georges Seurat,Frida Kahlo,The others are Neo-Impressionists.,Camille Pissarro
3545,Leonardo da Vinci,Kazimir Malevich,Marc Chagall,Leonardo da Vinci,The others are Russian Avant-garde artists.,Wassily Kandinsky
3546,Jackson Pollock,Pablo Picasso,Mark Rothko,Pablo Picasso,The others are Abstract Expressionists.,Willem de Kooning
3547,Claude Monet,Edward Hopper,Thomas Hart Benton,Claude Monet,The others are American Regionalists.,Grant Wood
3548,René Magritte,Vincent van Gogh,Frida Kahlo,Vincent van Gogh,The others are Surrealists.,Salvador Dali
3549,Kenny Scharf,Claude Monet,Keith Haring,Claude Monet,The others are Pop artists.,Jean-Michel Basquiat
3550,Hieronymus Bosch,Jan van Eyck,Vincent van Gogh,Vincent van Gogh,The others are Early Netherlandish painters.,Rogier van der Weyden
3551,Titian,Veronese,Tintoretto,Claude Monet,The others are Venetian Renaissance artists.,Claude Monet
3552,Nietzsche,Marx,Kant,Kant,The others are critics of religion,Freud
3553,Mill,Bentham,Kant,Kant,The others are Utilitarians,Sidgwick
3554,Socrates,Euclid,Archimedes,Socrates,The others are ancient Greek mathematicians,Pythagoras
3555,Foucault,Derrida,Deleuze,Heidegger,The others are Post-structuralists,Heidegger
3556,Claude Debussy,George Frideric Handel,Johann Sebastian Bach,Claude Debussy,The others are from the Baroque period,Antonio Vivaldi
3557,Maurice Ravel,Johann Strauss II,Claude Debussy,Johann Strauss II,The others are from France,Erik Satie
3558,Sergei Rachmaninoff,Johannes Brahms,Robert Schumann,Sergei Rachmaninoff,The others are from Germany,Richard Wagner
3559,Franz Schubert,Frédéric Chopin,Wolfgang Amadeus Mozart,Frédéric Chopin,The others composed symphonies,Ludwig van Beethoven
3560,Johann Sebastian Bach,Franz Liszt,George Frideric Handel,Franz Liszt,The others composed oratorios,Antonio Vivaldi
3561,Johann Strauss II,Claude Debussy,Maurice Ravel,Johann Strauss II,The others composed ballets,Erik Satie
3562,Johann Strauss II,Sergei Prokofiev,Franz Schubert,Sergei Prokofiev,The others composed polkas,Ludwig van Beethoven
3563,Frédéric Chopin,Franz Liszt,Johann Sebastian Bach,Johann Sebastian Bach,The others composed ballades,Robert Schumann
3564,Claude Debussy,Antonio Vivaldi,George Frideric Handel,Claude Debussy,The others composed cantatas,Johann Sebastian Bach
3565,Sergei Rachmaninoff,Johannes Brahms,Robert Schumann,Sergei Rachmaninoff,The others composed requiems,Richard Wagner
3566,Johann Sebastian Bach,Frédéric Chopin,Robert Schumann,Johann Sebastian Bach,The others composed nocturnes,Franz Liszt
3567,Omar Khayyam,Hafez,Saadi,Omar Khayyam,The others are Persian poets from the 13th century,Rumi
3568,Emily Dickinson,Walt Whitman,Lewis Carroll,Lewis Carroll,The others are poets who never married,Robert Frost
3569,Jibanananda Das,Pablo Neruda,Rabindranath Tagore,Pablo Neruda,The others are Bengali poets,Kazi Nazrul Islam
3570,William Wordsworth,John Keats,Percy Bysshe Shelley,William Wordsworth,The others died young,Lord Byron
3571,Alexander Pope,John Dryden,Samuel Johnson,William Blake,The others are Augustan poets,William Blake
3572,Geoffrey Chaucer,William Langland,John Gower,Thomas Malory,The others are Middle English poets,Thomas Malory
3573,Henrik Wergeland,Henrik Ibsen,Edvard Munch,Edvard Munch,The others are Norwegian poets,August Strindberg
3575,Boccaccio,Petrarch,Machiavelli,Machiavelli,The others are Italian poets of the 14th century,Dante Alighieri
3576,Alexander Pushkin,Mikhail Lermontov,Fyodor Tyutchev,Leo Tolstoy,The others are Russian Romantic poets,Leo Tolstoy
3577,Arthur Rimbaud,Charles Baudelaire,Paul Verlaine,Victor Hugo,The others are French Symbolist poets,Victor Hugo
3578,John Keats,Lord Byron,William Wordsworth,William Wordsworth,The others are poets who lived in Italy,Percy Bysshe Shelley
3579,Rabindranath Tagore,R.K. Narayan,Kazi Nazrul Islam,R.K. Narayan,The others are poets who wrote in Bengali,Jibanananda Das
3580,Charles Dickens,Samuel Taylor Coleridge,William Wordsworth,Charles Dickens,The others are poets who were not novelists,William Blake
3581,Robert Browning,Charles Darwin,Elizabeth Barrett Browning,Charles Darwin,The others are poets who lived in the Victorian era,Christina Rossetti
