obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Pablo Neruda,Hafez,Rumi,Pablo Neruda,The others are Persian poets,Omar Khayyam
e.e. cummings,W.B. Yeats,Robert Frost,e.e. cummings,The others are winners of the Nobel Prize in Literature,T.S. Eliot
Langston Hughes,Emily Dickinson,Zora Neale Hurston,Emily Dickinson,The others are part of the Harlem Renaissance,Toni Morrison
Percy Bysshe Shelley,John Keats,Robert Burns,Robert Burns,The others are part of the second generation of Romantic poets,Lord Byron
Walt Whitman,Emily Dickinson,Edgar Allan Poe,Charles Dickens,The others are poets of the 19th century,Charles Dickens
Mark Twain,E.E. Cummings,Robert Frost,Mark Twain,The others are part of the Modernist movement,Carl Sandburg
Geoffrey Chaucer,William Shakespeare,Ben Jonson,Geoffrey Chaucer,The others are poets of the Elizabethan era,John Donne
Dante Alighieri,Giovanni Boccaccio,Victor Hugo,Victor Hugo,The others are poets of the Italian Renaissance,Petrarch
William Wordsworth,Samuel Taylor Coleridge,William Blake,Thomas Hardy,The others are poets of the Romantic era,Thomas Hardy
Walt Whitman,Edgar Allan Poe,Ralph Waldo Emerson,Edgar Allan Poe,The others are Transcendentalist poets,Henry David Thoreau
Walt Whitman,Edgar Allan Poe,Emily Dickinson,F. Scott Fitzgerald,The others are poets who never left the United States,F. Scott Fitzgerald
Martin Luther King Jr.,Maya Angelou,Langston Hughes,Martin Luther King Jr.,The others are poets of the Civil Rights Movement,Toni Morrison
William Shakespeare,Christopher Marlowe,Ben Jonson,Geoffrey Chaucer,The others are poets of the English Renaissance,Geoffrey Chaucer
J.D. Salinger,Jack Kerouac,Allen Ginsberg,J.D. Salinger,The others are poets of the Beat Generation,William S. Burroughs
Jimmy Carter,Barack Obama,Bill Clinton,Jimmy Carter,The others served two full terms as President,George W. Bush
Angela Merkel,Margaret Thatcher,Hillary Clinton,Hillary Clinton,The others have served as a Prime Minister,Theresa May
Benjamin Franklin,George Washington,Thomas Jefferson,Benjamin Franklin,The others have been Presidents of the United States,Franklin D. Roosevelt
Pierre Trudeau,Stephen Harper,Justin Trudeau,Stephen Harper,The others are Liberal Party politicians,Kim Campbell
Ted Kennedy,Robert Kennedy,Richard Nixon,Richard Nixon,The others are members of the Kennedy family,John F. Kennedy
Nelson Mandela,Desmond Tutu,F. W. de Klerk,Desmond Tutu,The others were Presidents of South Africa,P. W. Botha
Dmitry Medvedev,Boris Yeltsin,Mikhail Gorbachev,Mikhail Gorbachev,The others have served as President of Russia,Vladimir Putin
Raul Castro,Hugo Chavez,Fidel Castro,Hugo Chavez,The others are Cuban leaders,Che Guevara
Lee Kuan Yew,Lee Hsien Loong,Goh Chok Tong,Mahathir Mohamad,The others are Singaporean Prime Ministers,Mahathir Mohamad
Snoop Dogg,Dr. Dre,Ice Cube,Jay Z,The others are associated with West Coast hip hop,Jay Z
Dr. Dre,Nas,Jay Z,Dr. Dre,The others are associated with East Coast hip hop,Biggie Smalls
Chris Cornell,Kurt Cobain,Layne Staley,Bono,The others are associated with the grunge movement,Bono
Justin Timberlake,Christina Aguilera,Madonna,Madonna,The others are associated with the Mickey Mouse Club,Britney Spears
Rafael Nadal,Roger Federer,Andy Murray,Andy Murray,The others have won more than 10 Grand Slam singles titles,Novak Djokovic
Monica Seles,Martina Navratilova,Billie Jean King,Monica Seles,The others won their first Grand Slam singles title before the age of 20,Chris Evert
Novak Djokovic,Andre Agassi,Pete Sampras,Andre Agassi,The others have held the world No. 1 spot for more than 200 weeks,Rafael Nadal
Novak Djokovic,Rafael Nadal,Pete Sampras,Andre Agassi,The others have won more than 10 ATP Masters 1000 titles,Andre Agassi
Serena Williams,Venus Williams,Maria Sharapova,Andy Murray,The others have won an Olympic gold medal in singles,Andy Murray
Andre Agassi,Pete Sampras,Boris Becker,John McEnroe,The others have won Wimbledon and the US Open in the same year,John McEnroe
Harvey Specter,Miles Edgeworth,Phoenix Wright,Harvey Specter,The others are from Ace Attorney,Maya Fey
Alicia Florrick,Vinny Gambini,Diane Lockhart,Vinny Gambini,The others are from The Good Wife,Will Gardner
Louis Litt,Paul Biegler,Harvey Specter,Paul Biegler,The others are from Suits,Mike Ross
John Milton,Abbie Carmichael,Arthur Branch,John Milton,The others are from Law & Order,Jack McCoy
Harvey Specter,Lily Aldrin,Marshall Eriksen,Harvey Specter,The others are from How I Met Your Mother,Ted Mosby
Vinny Gambini,Abby McDeere,Wayne Tarrance,Vinny Gambini,The others are from The Firm,Mitch McDeere
Phoenix Wright,Scout Finch,Jem Finch,Phoenix Wright,The others are from To Kill a Mockingbird,Atticus Finch
Fire Station,Emergency Room,Ambulance Bay,Fire Station,The others are parts of a hospital,Intensive Care Unit
Paramedic,EMT,Emergency Medical Dispatcher,Police Dispatcher,The others are in the EMS field,Police Dispatcher
Police Car,Medical Helicopter,Rescue Boat,Police Car,The others are used for medical emergencies,Ambulance
Physician,Paramedic,Nurse,Pharmacist,The others provide direct patient care,Pharmacist
Otoscope,Microscope,Surgical Scissors,Microscope,The others are used directly on the patient,Stethoscope
MRI Machine,Ultrasound Machine,EKG Machine,EKG Machine,The others are used for imaging,X-Ray Machine
Thermometer,Suture,Splint,Thermometer,The others are used for wound treatment,Bandage
Pet Carrier,Pet Crate,Pet Brush,Pet Brush,The others are pet containment items,Pet Bed
Jean Piaget,Lawrence Kohlberg,John Bowlby,John Bowlby,The others proposed stages of development,Erik Erikson
David Wechsler,Alfred Binet,Carl Jung,Carl Jung,The others developed intelligence tests,Francis Galton
B.F. Skinner,Carl Rogers,Viktor Frankl,B.F. Skinner,The others are associated with humanistic psychology,Abraham Maslow
B.F. Skinner,John Watson,Carl Rogers,Carl Rogers,The others are associated with behaviorism,Albert Bandura
Fridge,Mixer,Oven,Fridge,The others are commonly used in baking,Rolling pin
Croissant,Baguette,Bratwurst,Bratwurst,The others are French baked goods,Pain au chocolat
Chef's knife,Apron,Baker's hat,Chef's knife,The others are baker's attire,Oven mitts
Eggs,Milk,Salt,Salt,The others are ingredients in cake,Flour
Ciabatta,Brioche,Naan,Naan,The others are European breads,Challah
Pizza,Focaccia,Calzone,Pasta,The others are baked Italian dishes,Pasta
Danish,Cinnamon roll,Bagel,Bagel,The others are sweet pastries,Sticky bun
Hakeem Olajuwon,Charles Barkley,Scottie Pippen,Charles Barkley,The others have won the MVP award,Karl Malone
Kareem Abdul-Jabbar,Magic Johnson,Bill Russell,Magic Johnson,The others have won more than 5 NBA championships,Shaquille O'Neal
Dirk Nowitzki,Stephen Curry,Kevin Durant,Dirk Nowitzki,The others have won multiple NBA MVP awards,LeBron James
Russell Westbrook,Chris Paul,Kevin Durant,Chris Paul,The others have won the NBA scoring title,James Harden
Allen Iverson,Tim Duncan,Kevin Garnett,Allen Iverson,"The others are over 6'10""",Shaquille O'Neal
Magic Johnson,LeBron James,Michael Jordan,Larry Bird,The others have won NBA Finals MVP more than once,Larry Bird
Michael Jordan,LeBron James,Allen Iverson,Allen Iverson,The others have won more than 2 NBA championships,Kobe Bryant
Justin Thomas,Dustin Johnson,Jordan Spieth,Jack Nicklaus,The others are winners of the PGA Tour Player of the Year in the 2010s,Jack Nicklaus
Gary Player,Arnold Palmer,Tom Watson,Arnold Palmer,The others have won the Senior Open Championship,Jack Nicklaus
Byron Nelson,Sam Snead,Tiger Woods,Tiger Woods,The others are golfers from the 1940s,Ben Hogan
Lee Trevino,Gary Player,Jordan Spieth,Jordan Spieth,The others won the U.S. Open in the 1960s,Billy Casper
Paul Azinger,Fred Couples,Davis Love III,Tommy Armour,The others are Presidents Cup captains,Tommy Armour
Lee Westwood,Bobby Jones,Nick Faldo,Bobby Jones,The others are world number one golfers in the 1990s,Greg Norman
Ben Crenshaw,Hale Irwin,Johnny Miller,Ben Crenshaw,The others won the U.S. Open in the 1970s,Tom Watson
Walter Hagen,Henrik Stenson,Sergio Garcia,Walter Hagen,The others are European Tour Race to Dubai winners,Justin Rose
Evgeni Malkin,Sidney Crosby,Phil Kessel,Marc-Andre Fleury,The others are Penguins forwards,Marc-Andre Fleury
Zdeno Chara,Bobby Orr,Patrice Bergeron,Patrice Bergeron,The others are Bruins defensemen,Ray Bourque
Alex Ovechkin,Nicklas Backstrom,T.J. Oshie,Braden Holtby,The others are Capitals forwards,Braden Holtby
Mark Messier,Brian Leetch,Mike Richter,Mike Richter,The others are Rangers forwards,Adam Graves
Connor McDavid,Darnell Nurse,Leon Draisaitl,Darnell Nurse,The others are Oilers forwards,Ryan Nugent-Hopkins
Maurice Richard,Jean Beliveau,Patrick Roy,Patrick Roy,The others are Canadiens forwards,Guy Lafleur
Peter Forsberg,Joe Sakic,Milan Hejduk,Patrick Roy,The others are Avalanche forwards,Patrick Roy
Chris Osgood,Sergei Fedorov,Nicklas Lidstrom,Chris Osgood,The others are Red Wings skaters,Steve Yzerman
Brett Hull,Adam Oates,Curtis Joseph,Curtis Joseph,The others are Blues forwards,Al MacInnis
Paul Kariya,Jean-Sebastien Giguere,Ryan Getzlaf,Jean-Sebastien Giguere,The others are Ducks forwards,Teemu Selanne
Mike Bossy,Billy Smith,Denis Potvin,Billy Smith,The others are Islanders skaters,Bryan Trottier
Jonathan Toews,Corey Crawford,Patrick Kane,Corey Crawford,The others are Blackhawks skaters,Duncan Keith
Gerry Cheevers,Phil Esposito,Ray Bourque,Gerry Cheevers,The others are Bruins skaters,Bobby Orr
Lanny McDonald,Jarome Iginla,Miikka Kiprusoff,Miikka Kiprusoff,The others are Flames forwards,Theo Fleury
Martin Brodeur,Scott Stevens,Scott Niedermayer,Martin Brodeur,The others are Devils skaters,Patrik Elias
Marcel Dionne,Dave Taylor,Rogie Vachon,Rogie Vachon,The others are Kings forwards,Luc Robitaille
Ron Hextall,Eric Lindros,Mikael Renberg,Ron Hextall,The others are Flyers forwards,John LeClair
Patrick Roy,Joe Sakic,Peter Stastny,Patrick Roy,The others are Nordiques/Avalanche forwards,Milan Hejduk
Markus Naslund,Trevor Linden,Kirk Mclean,Kirk Mclean,The others are Canucks forwards,Pavel Bure
Ryu,Sonic,Guile,Sonic,The others are characters from Street Fighter,Ken
John Coltrane,Neil Young,Bob Dylan,John Coltrane,The others are folk rock musicians,Bruce Springsteen
Phil Lesh,Bob Weir,Neil Young,Neil Young,The others are members of Grateful Dead,Jerry Garcia
Liam Gallagher,Alex James,Graham Coxon,Liam Gallagher,The others are members of Blur,Damon Albarn
Michael Stipe,Mike Mills,Bono,Bono,The others are members of R.E.M.,Peter Buck
Mick Jagger,John Entwistle,Roger Daltrey,Mick Jagger,The others are members of The Who,Pete Townshend
Lol Tolhurst,Morrissey,Robert Smith,Morrissey,The others are members of The Cure,Simon Gallup
Diego Rivera,Claude Monet,Frida Kahlo,Claude Monet,The others are Mexican Muralists.,David Alfaro Siqueiros
Vincent van Gogh,Frans Hals,Johannes Vermeer,Vincent van Gogh,The others are Dutch Golden Age artists.,Rembrandt
Piet Mondrian,Kazimir Malevich,Wassily Kandinsky,Leonardo da Vinci,The others are Abstract artists.,Leonardo da Vinci
Vincent van Gogh,Salvador Dali,Paul Gauguin,Salvador Dali,The others are Post-Impressionists.,Édouard Manet
Kitagawa Utamaro,Katsushika Hokusai,Van Gogh,Van Gogh,The others are Ukiyo-e artists.,Utagawa Hiroshige
Frida Kahlo,Paul Signac,Georges Seurat,Frida Kahlo,The others are Neo-Impressionists.,Camille Pissarro
Leonardo da Vinci,Kazimir Malevich,Marc Chagall,Leonardo da Vinci,The others are Russian Avant-garde artists.,Wassily Kandinsky
Jackson Pollock,Pablo Picasso,Mark Rothko,Pablo Picasso,The others are Abstract Expressionists.,Willem de Kooning
Claude Monet,Edward Hopper,Thomas Hart Benton,Claude Monet,The others are American Regionalists.,Grant Wood
René Magritte,Vincent van Gogh,Frida Kahlo,Vincent van Gogh,The others are Surrealists.,Salvador Dali
Kenny Scharf,Claude Monet,Keith Haring,Claude Monet,The others are Pop artists.,Jean-Michel Basquiat
Hieronymus Bosch,Jan van Eyck,Vincent van Gogh,Vincent van Gogh,The others are Early Netherlandish painters.,Rogier van der Weyden
Titian,Veronese,Tintoretto,Claude Monet,The others are Venetian Renaissance artists.,Claude Monet
Nietzsche,Marx,Kant,Kant,The others are critics of religion,Freud
Mill,Bentham,Kant,Kant,The others are Utilitarians,Sidgwick
Socrates,Euclid,Archimedes,Socrates,The others are ancient Greek mathematicians,Pythagoras
Foucault,Derrida,Deleuze,Heidegger,The others are Post-structuralists,Heidegger
Claude Debussy,George Frideric Handel,Johann Sebastian Bach,Claude Debussy,The others are from the Baroque period,Antonio Vivaldi
Maurice Ravel,Johann Strauss II,Claude Debussy,Johann Strauss II,The others are from France,Erik Satie
Sergei Rachmaninoff,Johannes Brahms,Robert Schumann,Sergei Rachmaninoff,The others are from Germany,Richard Wagner
Franz Schubert,Frédéric Chopin,Wolfgang Amadeus Mozart,Frédéric Chopin,The others composed symphonies,Ludwig van Beethoven
Johann Sebastian Bach,Franz Liszt,George Frideric Handel,Franz Liszt,The others composed oratorios,Antonio Vivaldi
Johann Strauss II,Claude Debussy,Maurice Ravel,Johann Strauss II,The others composed ballets,Erik Satie
Johann Strauss II,Sergei Prokofiev,Franz Schubert,Sergei Prokofiev,The others composed polkas,Ludwig van Beethoven
Frédéric Chopin,Franz Liszt,Johann Sebastian Bach,Johann Sebastian Bach,The others composed ballades,Robert Schumann
Claude Debussy,Antonio Vivaldi,George Frideric Handel,Claude Debussy,The others composed cantatas,Johann Sebastian Bach
Sergei Rachmaninoff,Johannes Brahms,Robert Schumann,Sergei Rachmaninoff,The others composed requiems,Richard Wagner
Johann Sebastian Bach,Frédéric Chopin,Robert Schumann,Johann Sebastian Bach,The others composed nocturnes,Franz Liszt
Omar Khayyam,Hafez,Saadi,Omar Khayyam,The others are Persian poets from the 13th century,Rumi
Emily Dickinson,Walt Whitman,Lewis Carroll,Lewis Carroll,The others are poets who never married,Robert Frost
Jibanananda Das,Pablo Neruda,Rabindranath Tagore,Pablo Neruda,The others are Bengali poets,Kazi Nazrul Islam
William Wordsworth,John Keats,Percy Bysshe Shelley,William Wordsworth,The others died young,Lord Byron
Alexander Pope,John Dryden,Samuel Johnson,William Blake,The others are Augustan poets,William Blake
Geoffrey Chaucer,William Langland,John Gower,Thomas Malory,The others are Middle English poets,Thomas Malory
Henrik Wergeland,Henrik Ibsen,Edvard Munch,Edvard Munch,The others are Norwegian poets,August Strindberg
Rudyard Kipling,A.E. Housman,Robert Bridges,Rudyard Kipling,The others are poets who were not Poet Laureate,Thomas Hardy
Boccaccio,Petrarch,Machiavelli,Machiavelli,The others are Italian poets of the 14th century,Dante Alighieri
Alexander Pushkin,Mikhail Lermontov,Fyodor Tyutchev,Leo Tolstoy,The others are Russian Romantic poets,Leo Tolstoy
Arthur Rimbaud,Charles Baudelaire,Paul Verlaine,Victor Hugo,The others are French Symbolist poets,Victor Hugo
John Keats,Lord Byron,William Wordsworth,William Wordsworth,The others are poets who lived in Italy,Percy Bysshe Shelley
Rabindranath Tagore,R.K. Narayan,Kazi Nazrul Islam,R.K. Narayan,The others are poets who wrote in Bengali,Jibanananda Das
Charles Dickens,Samuel Taylor Coleridge,William Wordsworth,Charles Dickens,The others are poets who were not novelists,William Blake
Robert Browning,Charles Darwin,Elizabeth Barrett Browning,Charles Darwin,The others are poets who lived in the Victorian era,Christina Rossetti
X-Ray Machine,Stethoscope,Ultrasound Machine,Scalpel,The others are used for diagnostic purposes,Scalpel
Rabies,Lyme Disease,Heartworm,Diabetes,The others are transmitted by parasites,Diabetes
Feline Leukemia Virus,Rabies Virus,Canine Parvovirus,Influenza Virus,The others are common in pets,Influenza Virus
Sigmund Freud,Carl Jung,Anna Freud,Erik Erikson,The others are directly associated with psychoanalysis,Erik Erikson
Carl Rogers,Philip Zimbardo,Stanley Milgram,Carl Rogers,The others conducted famous social psychology experiments,Solomon Asch
Carl Rogers,Solomon Asch,Stanley Milgram,Carl Rogers,The others are known for their work in social psychology,Philip Zimbardo
Jean Piaget,Erik Erikson,Lev Vygotsky,Carl Jung,The others are associated with developmental psychology,Carl Jung
Alfred Adler,Sigmund Freud,Wilhelm Wundt,Wilhelm Wundt,The others are associated with the psychoanalytic school of thought,Carl Jung
Albert Bandura,Sigmund Freud,Carl Rogers,Sigmund Freud,The others are Behaviorists,B.F. Skinner
Francine Shapiro,John Gottman,Marsha Linehan,Carl Rogers,The others are founders of Therapies,Carl Rogers
Virginia Satir,Carl Rogers,B.F. Skinner,B.F. Skinner,The others are Humanistic therapists,Fritz Perls
Sigmund Freud,Aaron Beck,Donald Meichenbaum,Sigmund Freud,The others are Cognitive therapists,Albert Ellis
Ardbeg,Glenmorangie,Lagavulin,Glenmorangie,The others are Islay Scotch whisky distilleries,Laphroaig
Macallan,Laphroaig,Glenlivet,Laphroaig,The others are Speyside Scotch whisky distilleries,Glenfiddich
Jameson,Glenkinchie,Tullamore D.E.W.,Glenkinchie,The others are Irish whiskey distilleries,Bushmills
Jim Beam,Don Julio,Jose Cuervo,Jim Beam,The others are Tequila distilleries,Patron
Wolfburn,Scapa,Highland Park,Glenlivet,The others are Island Scotch whisky distilleries,Glenlivet
Auchentoshan,Bladnoch,Glenfiddich,Glenfiddich,The others are Lowland Scotch whisky distilleries,Glenkinchie
Dalmore,Glenkinchie,Glenmorangie,Glenkinchie,The others are Highland Scotch whisky distilleries,Old Pulteney
J&B,Glenkinchie,Johnnie Walker,Glenkinchie,The others are blended Scotch whisky brands,Buchanan's
